Time,Status
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,No Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,No Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,No Mask
11:25:42,No Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,No Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:42,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,No Mask
11:25:43,No Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,Mask
11:25:43,No Mask
11:25:43,Mask
11:25:43,No Mask
11:25:43,Mask
11:25:43,No Mask
11:25:43,No Mask
11:25:43,No Mask
11:25:44,Mask
11:25:44,No Mask
11:25:44,Mask
11:25:44,No Mask
11:25:44,Mask
11:25:44,No Mask
11:25:44,No Mask
11:25:44,Mask
11:25:44,No Mask
11:25:44,No Mask
11:25:44,Mask
11:25:44,No Mask
11:25:44,No Mask
11:25:44,Mask
11:25:44,No Mask
11:25:44,No Mask
11:25:44,No Mask
11:25:44,Mask
11:25:44,No Mask
11:25:44,Mask
11:25:44,No Mask
11:25:44,No Mask
11:25:44,Mask
11:25:44,No Mask
11:25:44,Mask
11:25:44,No Mask
11:25:44,No Mask
11:25:44,Mask
11:25:44,No Mask
11:25:44,No Mask
11:25:44,No Mask
11:25:44,Mask
11:25:44,No Mask
11:25:44,Mask
11:25:44,No Mask
11:25:44,No Mask
11:25:44,Mask
11:25:44,Mask
11:25:44,Mask
11:25:44,Mask
11:25:45,Mask
11:25:45,No Mask
11:25:45,Mask
11:25:45,Mask
11:25:45,Mask
11:25:45,Mask
11:25:45,Mask
11:25:45,Mask
11:25:45,Mask
11:25:45,Mask
11:25:45,Mask
11:25:45,No Mask
11:25:45,Mask
11:25:45,Mask
11:25:45,Mask
11:25:45,No Mask
11:25:45,Mask
11:25:45,No Mask
11:25:45,Mask
